compilation_requirement_id,target_requirement_ids,facet,missing_item_template,guardrail_effect
GRI 201-1-2.1,"[""GRI 201-1-a"", ""GRI 201-1-a-i"", ""GRI 201-1-a-ii"", ""GRI 201-1-a-iii"", ""GRI 201-1-b""]","[""requires_source_basis"", ""requires_applicability_check""]","[""EVG&D source basis from audited financial/P&L statement or internally audited management accounts"", ""applicability of EVG&D source basis""]","[""EVG&D data should not be marked disclosed when source basis is absent; applicability check only applies to if-applicable language""]"
GRI 201-2-2.2,"[""GRI 201-2-a"", ""GRI 201-2-a-iii"", ""GRI 201-2-a-v""]","[""requires_unavailable_data_plan"", ""requires_applicability_check""]","[""plans and timeline when financial implication or cost calculation system is unavailable"", ""applicability of no-system fallback""]","[""when no calculation system exists, require plans and timeline instead of a generic method guardrail""]"
GRI 201-4-2.5,"[""GRI 201-4-a"", ""GRI 201-4-a-i"", ""GRI 201-4-a-ii"", ""GRI 201-4-a-iii"", ""GRI 201-4-a-iv"", ""GRI 201-4-a-v"", ""GRI 201-4-a-vi"", ""GRI 201-4-a-vii"", ""GRI 201-4-a-viii"", ""GRI 201-4-b""]","[""requires_monetary_amount"", ""requires_accounting_basis""]","[""monetary value of government financial assistance"", ""GAAP or consistent accounting basis""]","[""do not mark financial assistance disclosed when monetary value or accounting basis is missing""]"
GRI 202-2-2.2,"[""GRI 202-2-a""]","[""requires_percentage"", ""requires_full_time_employee_denominator""]","[""percentage calculated using full-time employee data""]","[""local senior management percentage must use full-time employee denominator""]"
GRI 207-4-2.1,"[""GRI 207-4-a"", ""GRI 207-4-b"", ""GRI 207-4-b-i"", ""GRI 207-4-b-ii"", ""GRI 207-4-b-iii"", ""GRI 207-4-b-iv"", ""GRI 207-4-b-v"", ""GRI 207-4-b-vi"", ""GRI 207-4-b-vii"", ""GRI 207-4-b-viii"", ""GRI 207-4-b-ix"", ""GRI 207-4-b-x"", ""GRI 207-4-c""]","[""requires_source_basis"", ""requires_reporting_period_alignment"", ""requires_fallback_period_context""]","[""audited consolidated financial statement/public record source basis"", ""period covered by the most recent audited statements or permitted fallback period""]","[""country-by-country data period must align with audited consolidated statements or permitted fallback period""]"
GRI 207-4-2.2.1,"[""GRI 207-4-b-iv"", ""GRI 207-4-b-vi"", ""GRI 207-4-b-vii"", ""GRI 207-4-b-viii""]","[""requires_reconciliation"", ""requires_difference_explanation""]","[""reconciliation to audited consolidated statements for selected fields"", ""explanation for reconciliation differences""]","[""reconciliation guardrail applies only to selected financial fields, not unrelated country-by-country leaves""]"
GRI 207-4-2.2.2,"[""GRI 207-4-b-ix""]","[""requires_exclusion_scope"", ""requires_reporting_period_alignment""]","[""exclude deferred corporate income tax and uncertain tax position provisions"", ""current tax accrued for reported period""]","[""current tax accrued must exclude deferred tax and uncertain-tax-position provisions""]"
GRI 207-4-2.2.3,"[""GRI 207-4-a"", ""GRI 207-4-b"", ""GRI 207-4-b-i"", ""GRI 207-4-b-ii"", ""GRI 207-4-b-iii"", ""GRI 207-4-b-iv"", ""GRI 207-4-b-v"", ""GRI 207-4-b-vi"", ""GRI 207-4-b-vii"", ""GRI 207-4-b-viii"", ""GRI 207-4-b-ix"", ""GRI 207-4-b-x""]","[""requires_separate_reporting"", ""requires_tax_jurisdiction_boundary""]","[""stateless entity reported separately"", ""tax jurisdiction boundary""]","[""stateless entities require separate reporting and should not be folded into ordinary jurisdiction rows""]"
GRI 301-2-2.2.1,"[""GRI 301-2-a""]","[""requires_denominator_basis""]","[""total material weight or volume used as denominator consistent with 301-1""]","[""block recycled-input percentage when denominator basis is absent""]"
GRI 301-2-2.2.2,"[""GRI 301-2-a""]","[""requires_percentage"", ""requires_formula""]","[""recycled input material percentage formula""]","[""recycled input disclosure requires formula-based percentage""]"
GRI 301-3-2.4.1,"[""GRI 301-3-a""]","[""requires_exclusion_scope""]","[""exclude rejects and recalls of products""]","[""reclaimed product percentage should exclude rejects and recalls""]"
GRI 301-3-2.4.2,"[""GRI 301-3-a""]","[""requires_percentage"", ""requires_product_category_breakdown"", ""requires_formula""]","[""percentage of reclaimed products and packaging by product category""]","[""formula governs reclaimed product and packaging percentage leaf only""]"
GRI 302-1-2.1.1,"[""GRI 302-1-a"", ""GRI 302-1-b"", ""GRI 302-1-c"", ""GRI 302-1-e""]","[""requires_no_double_counting"", ""requires_calculation_boundary""]","[""avoid double-counting self-generated energy""]","[""self-generated energy must be counted once under fuel consumption""]"
GRI 302-1-2.1.2,"[""GRI 302-1-a"", ""GRI 302-1-b""]","[""requires_energy_source_breakdown"", ""requires_separate_reporting""]","[""separate non-renewable and renewable fuel consumption""]","[""fuel consumption must be split by non-renewable and renewable sources""]"
GRI 302-1-2.1.3,"[""GRI 302-1-a"", ""GRI 302-1-b"", ""GRI 302-1-c"", ""GRI 302-1-e""]","[""requires_organizational_boundary""]","[""entities owned or controlled by the organization""]","[""internal energy consumption must be limited to owned or controlled entities""]"
GRI 302-1-2.1.4,"[""GRI 302-1-e"", ""GRI 302-1-f""]","[""requires_formula"", ""requires_unit""]","[""total internal energy formula in joules or multiples""]","[""total internal energy needs formula and unit basis""]"
GRI 302-2-2.3,"[""GRI 302-2-a"", ""GRI 302-2-b""]","[""requires_exclusion_scope""]","[""exclude energy already reported in 302-1""]","[""external energy consumption must exclude internal energy reported under 302-1""]"
GRI 302-3-2.5.1,"[""GRI 302-3-a"", ""GRI 302-3-b""]","[""requires_ratio_numerator_denominator""]","[""absolute energy numerator and organization-specific denominator""]","[""energy intensity ratio requires numerator and denominator""]"
GRI 302-3-2.5.2,"[""GRI 302-3-a"", ""GRI 302-3-d""]","[""requires_separate_reporting"", ""requires_boundary""]","[""separate internal and external energy intensity ratios""]","[""internal and external energy intensity ratios require separate reporting when both are reported""]"
GRI 302-4-2.7.1,"[""GRI 302-4-a"", ""GRI 302-4-d""]","[""requires_exclusion_scope""]","[""exclude reductions from reduced production capacity or outsourcing""]","[""energy reduction cannot rely on reduced production capacity or outsourcing effects""]"
GRI 302-4-2.7.2,"[""GRI 302-4-a"", ""GRI 302-4-d""]","[""requires_method_or_assumption"", ""requires_measurement_basis""]","[""whether reduction is estimated, modeled, or directly measured"", ""method used for estimation or modeling""]","[""energy reduction evidence needs measurement basis and method when estimated or modeled""]"
GRI 303-3-2.1,"[""GRI 303-3-b"", ""GRI 303-3-b-i"", ""GRI 303-3-b-ii"", ""GRI 303-3-b-iii"", ""GRI 303-3-b-iv"", ""GRI 303-3-b-v"", ""GRI 303-3-d""]","[""requires_water_stress_methodology""]","[""public and credible water stress assessment tool or methodology""]","[""water-stress withdrawal branch requires credible water-stress methodology""]"
GRI 303-4-2.3,"[""GRI 303-4-c"", ""GRI 303-4-c-i"", ""GRI 303-4-c-ii"", ""GRI 303-4-e""]","[""requires_water_stress_methodology""]","[""public and credible water stress assessment tool or methodology""]","[""water discharge to water-stressed areas requires credible methodology""]"
GRI 305-1-2.1.1,"[""GRI 305-1-a"", ""GRI 305-1-g""]","[""requires_exclusion_scope""]","[""exclude GHG trades from gross Scope 1 emissions""]","[""Scope 1 gross emissions must exclude GHG trades""]"
GRI 305-1-2.1.2,"[""GRI 305-1-a"", ""GRI 305-1-d""]","[""requires_separate_reporting"", ""requires_exclusion_scope""]","[""biogenic CO2 reported separately"", ""specified biogenic non-CO2 and lifecycle emissions excluded""]","[""gross Scope 1 evidence must not mix biogenic emissions into direct emissions""]"
GRI 305-2-2.3.1,"[""GRI 305-2-a"", ""GRI 305-2-b"", ""GRI 305-2-g""]","[""requires_exclusion_scope""]","[""exclude GHG trades from gross Scope 2 emissions""]","[""Scope 2 gross emissions must exclude GHG trades""]"
GRI 305-2-2.3.2,"[""GRI 305-2-a"", ""GRI 305-2-b"", ""GRI 305-2-g""]","[""requires_exclusion_scope""]","[""exclude Scope 3 emissions from Scope 2 disclosure""]","[""Scope 2 evidence must not include Scope 3 emissions""]"
GRI 305-2-2.3.3,"[""GRI 305-2-a"", ""GRI 305-2-b"", ""GRI 305-2-g""]","[""requires_method_or_assumption"", ""requires_applicability_check""]","[""location-based method when product or supplier-specific data is unavailable""]","[""Scope 2 method depends on availability of contractual/product-specific data""]"
GRI 305-2-2.3.4,"[""GRI 305-2-a"", ""GRI 305-2-b"", ""GRI 305-2-g""]","[""requires_method_or_assumption"", ""requires_applicability_check""]","[""location-based and market-based methods when contractual instruments exist""]","[""Scope 2 market-based method applies when contractual instruments are available""]"
GRI 305-3-2.5.1,"[""GRI 305-3-a""]","[""requires_exclusion_scope""]","[""exclude GHG trades from gross Scope 3 emissions""]","[""Scope 3 gross emissions must exclude GHG trades""]"
GRI 305-3-2.5.2,"[""GRI 305-3-a"", ""GRI 305-3-d""]","[""requires_exclusion_scope""]","[""exclude Scope 2 emissions from Scope 3 disclosure""]","[""Scope 3 evidence must not include Scope 2 emissions""]"
GRI 305-4-2.7.1,"[""GRI 305-4-a"", ""GRI 305-4-b""]","[""requires_ratio_numerator_denominator""]","[""absolute GHG emissions numerator and organization-specific denominator""]","[""GHG intensity ratio requires numerator and denominator""]"
GRI 305-4-2.7.2,"[""GRI 305-4-a"", ""GRI 305-4-c""]","[""requires_scope_breakdown"", ""requires_separate_reporting""]","[""Scope 3 intensity separately from Scope 1 and Scope 2 intensity""]","[""Scope 3 intensity must be reported separately from Scope 1/2 when included""]"
GRI 305-5-2.9.1,"[""GRI 305-5-a"", ""GRI 305-5-e""]","[""requires_exclusion_scope""]","[""exclude reductions from reduced production capacity or outsourcing""]","[""GHG reduction cannot rely on reduced production capacity or outsourcing effects""]"
GRI 305-5-2.9.2,"[""GRI 305-5-a"", ""GRI 305-5-e""]","[""requires_method_or_assumption""]","[""inventory or project accounting method""]","[""GHG reduction amount requires inventory or project method basis""]"
GRI 305-5-2.9.3,"[""GRI 305-5-a"", ""GRI 305-5-e""]","[""requires_method_or_assumption""]","[""primary effects plus significant secondary effects""]","[""GHG reduction total requires primary and significant secondary effects method""]"
GRI 305-5-2.9.4,"[""GRI 305-5-a"", ""GRI 305-5-d""]","[""requires_scope_breakdown"", ""requires_separate_reporting""]","[""reductions reported separately by Scope type""]","[""when multiple Scopes are reported, reductions must be split by Scope type""]"
GRI 305-5-2.9.5,"[""GRI 305-5-a"", ""GRI 305-5-e""]","[""requires_separate_reporting""]","[""offset-derived reductions reported separately""]","[""offset reductions must be separate from reduction initiatives""]"
GRI 305-6-2.11.1,"[""GRI 305-6-a""]","[""requires_method_or_assumption""]","[""ODS production minus approved destruction and feedstock use""]","[""ODS production amount requires specified calculation basis""]"
GRI 305-7-2.13.1,"[""GRI 305-7-a"", ""GRI 305-7-b""]","[""requires_method_or_assumption"", ""evidence_kind_direct_measurement""]","[""direct measurement of significant air emissions"", ""emission-factor source may be not applicable when direct measurement is used""]","[""direct measurement can satisfy method; factor-source leaf may be not applicable""]"
GRI 305-7-2.13.2,"[""GRI 305-7-a"", ""GRI 305-7-b""]","[""requires_method_or_assumption"", ""evidence_kind_site_specific_data""]","[""calculation based on site-specific data""]","[""significant air emissions can use site-specific data calculation""]"
GRI 305-7-2.13.3,"[""GRI 305-7-a"", ""GRI 305-7-b""]","[""requires_factor_source"", ""evidence_kind_published_factor""]","[""calculation based on published emission factors""]","[""significant air emissions can use published emission factors""]"
GRI 305-7-2.13.4,"[""GRI 305-7-a"", ""GRI 305-7-b""]","[""requires_method_or_assumption"", ""requires_estimation_basis""]","[""basis of estimation when default figures are unavailable""]","[""estimated significant air emissions require estimation basis""]"
GRI 306-3-2.1.1,"[""GRI 306-3-a""]","[""requires_effluent_exclusion""]","[""exclude effluent unless national law requires inclusion in total waste""]","[""do not count effluent in total waste unless required by law""]"
GRI 306-3-2.1.2,"[""GRI 306-3-a""]","[""requires_unit_conversion""]","[""1000 kilograms per metric ton or metric tons directly""]","[""waste weight conversion uses 1000 kg per metric ton when needed""]"
GRI 306-4-2.2.1,"[""GRI 306-4-a"", ""GRI 306-4-b"", ""GRI 306-4-b-i"", ""GRI 306-4-b-ii"", ""GRI 306-4-b-iii"", ""GRI 306-4-c"", ""GRI 306-4-c-i"", ""GRI 306-4-c-ii"", ""GRI 306-4-c-iii"", ""GRI 306-4-d"", ""GRI 306-4-d-i"", ""GRI 306-4-d-ii""]","[""requires_effluent_exclusion""]","[""exclude effluent unless national law requires inclusion in total waste""]","[""do not count effluent as diverted waste unless required by law""]"
GRI 306-4-2.2.2,"[""GRI 306-4-a"", ""GRI 306-4-b"", ""GRI 306-4-b-i"", ""GRI 306-4-b-ii"", ""GRI 306-4-b-iii"", ""GRI 306-4-c"", ""GRI 306-4-c-i"", ""GRI 306-4-c-ii"", ""GRI 306-4-c-iii"", ""GRI 306-4-d"", ""GRI 306-4-d-i"", ""GRI 306-4-d-ii""]","[""requires_unit_conversion""]","[""1000 kilograms per metric ton or metric tons directly""]","[""diverted waste weight conversion uses 1000 kg per metric ton when needed""]"
GRI 306-5-2.4.1,"[""GRI 306-5-a"", ""GRI 306-5-b"", ""GRI 306-5-b-i"", ""GRI 306-5-b-ii"", ""GRI 306-5-b-iii"", ""GRI 306-5-b-iv"", ""GRI 306-5-c"", ""GRI 306-5-c-i"", ""GRI 306-5-c-ii"", ""GRI 306-5-c-iii"", ""GRI 306-5-c-iv"", ""GRI 306-5-d"", ""GRI 306-5-d-i"", ""GRI 306-5-d-ii""]","[""requires_effluent_exclusion""]","[""exclude effluent unless national law requires inclusion in total waste""]","[""do not count effluent as disposed waste unless required by law""]"
GRI 401-1-2.1,"[""GRI 401-1-a"", ""GRI 401-1-b""]","[""requires_reporting_period_end_denominator""]","[""total employee numbers at reporting period end for hire and turnover rates""]","[""hire and turnover rates require period-end employee denominator""]"
GRI 401-2-2.3,"[""GRI 401-2-a"", ""GRI 401-2-a-vii""]","[""requires_exclusion_scope""]","[""exclude in-kind general welfare programs""]","[""general welfare facilities, meals, and similar programs should not be counted as listed benefits""]"
GRI 403-9-2.1.1,"[""GRI 403-9-a-ii"", ""GRI 403-9-b-ii"", ""GRI 403-9-g""]","[""requires_exclusion_scope""]","[""exclude fatalities from high-consequence injury count and rate""]","[""high-consequence injury metrics exclude fatalities""]"
GRI 403-9-2.1.2,"[""GRI 403-9-a-iii"", ""GRI 403-9-b-iii"", ""GRI 403-9-g""]","[""requires_inclusion_scope""]","[""include fatalities in recordable injury count and rate""]","[""recordable injury metrics include fatalities from work-related injury""]"
GRI 403-9-2.1.3,"[""GRI 403-9-a-i"", ""GRI 403-9-a-ii"", ""GRI 403-9-a-iii"", ""GRI 403-9-a-iv"", ""GRI 403-9-b-i"", ""GRI 403-9-b-ii"", ""GRI 403-9-b-iii"", ""GRI 403-9-b-iv"", ""GRI 403-9-g""]","[""requires_commuting_incident_scope""]","[""commuting incidents included only when transport is organization-arranged""]","[""commuting incidents count only when organization-arranged transport is involved""]"
GRI 403-9-2.1.4,"[""GRI 403-9-a-i"", ""GRI 403-9-a-ii"", ""GRI 403-9-a-iii"", ""GRI 403-9-b-i"", ""GRI 403-9-b-ii"", ""GRI 403-9-b-iii"", ""GRI 403-9-e"", ""GRI 403-9-g""]","[""requires_rate_basis""]","[""rates based on 200000 or 1000000 hours worked""]","[""injury rates require explicit hours-worked denominator basis""]"
GRI 403-10-2.3,"[""GRI 403-10-a-ii"", ""GRI 403-10-b-ii"", ""GRI 403-10-e""]","[""requires_inclusion_scope""]","[""include fatalities in recordable work-related ill health cases""]","[""recordable ill-health case calculations include work-related ill-health fatalities""]"
GRI 406-1-2.1,"[""GRI 406-1-a"", ""GRI 406-1-b""]","[""requires_discrimination_scope""]","[""specified discrimination grounds, internal/external stakeholders, operations, and reporting period""]","[""discrimination incident scope must align with protected grounds and stakeholder boundary""]"
GRI 416-2-2.1.1,"[""GRI 416-2-a"", ""GRI 416-2-a-i"", ""GRI 416-2-a-ii"", ""GRI 416-2-a-iii"", ""GRI 416-2-b""]","[""requires_fault_exclusion""]","[""exclude incidents where organization was determined not at fault""]","[""zero product-safety non-compliance statement is valid only after no-fault exclusion""]"
GRI 416-2-2.1.2,"[""GRI 416-2-a"", ""GRI 416-2-a-i"", ""GRI 416-2-a-ii"", ""GRI 416-2-a-iii"", ""GRI 416-2-b""]","[""requires_labeling_exclusion""]","[""exclude labeling-related non-compliance from 416-2 and route to 417-2""]","[""product safety non-compliance must not include labeling incidents""]"
GRI 416-2-2.1.3,"[""GRI 416-2-a"", ""GRI 416-2-a-i"", ""GRI 416-2-a-ii"", ""GRI 416-2-a-iii"", ""GRI 416-2-b""]","[""requires_prior_period_attribution""]","[""identify current-period non-compliance related to prior-period events""]","[""zero product-safety non-compliance statement cannot omit prior-period event attribution""]"
GRI 417-2-2.1.1,"[""GRI 417-2-a"", ""GRI 417-2-a-i"", ""GRI 417-2-a-ii"", ""GRI 417-2-a-iii"", ""GRI 417-2-b""]","[""requires_fault_exclusion""]","[""exclude incidents where organization was determined not at fault""]","[""zero labeling non-compliance statement is valid only after no-fault exclusion""]"
GRI 417-2-2.1.2,"[""GRI 417-2-a"", ""GRI 417-2-a-i"", ""GRI 417-2-a-ii"", ""GRI 417-2-a-iii"", ""GRI 417-2-b""]","[""requires_prior_period_attribution""]","[""identify current-period labeling non-compliance related to prior-period events""]","[""zero labeling non-compliance statement cannot omit prior-period event attribution""]"
GRI 417-3-2.2.1,"[""GRI 417-3-a"", ""GRI 417-3-a-i"", ""GRI 417-3-a-ii"", ""GRI 417-3-a-iii"", ""GRI 417-3-b""]","[""requires_fault_exclusion""]","[""exclude incidents where organization was determined not at fault""]","[""zero marketing non-compliance statement is valid only after no-fault exclusion""]"
GRI 417-3-2.2.2,"[""GRI 417-3-a"", ""GRI 417-3-a-i"", ""GRI 417-3-a-ii"", ""GRI 417-3-a-iii"", ""GRI 417-3-b""]","[""requires_prior_period_attribution""]","[""identify current-period marketing non-compliance related to prior-period events""]","[""zero marketing non-compliance statement cannot omit prior-period event attribution""]"
GRI 418-1-2.1,"[""GRI 418-1-a"", ""GRI 418-1-a-i"", ""GRI 418-1-a-ii"", ""GRI 418-1-b""]","[""requires_prior_period_attribution""]","[""substantial number of privacy breaches related to preceding years""]","[""privacy breach count must state substantial prior-year attribution when applicable; do not apply to zero-complaint statement leaf 418-1-c""]"
